,genres_name,year_of_release,revenue_in_millions
0,Action,2009,2787.965087
1,Adventure,2007,961.0
2,Action,2015,880.674609
3,Action,2012,1084.939099
4,Action,2012,284.1391
5,Fantasy,2007,890.871626
6,Animation,2010,591.794936
7,Action,2015,1405.403694
8,Adventure,2009,933.959197
10,Adventure,2006,391.081192
11,Adventure,2008,586.090727
12,Adventure,2006,1065.659812
13,Action,2013,89.28991
14,Action,2013,662.845518
15,Adventure,2008,419.651413
17,Adventure,2011,1045.713802
18,Action,2012,624.026776
19,Action,2014,956.019788
20,Action,2012,752.215857
21,Action,2010,310.66954
22,Adventure,2013,958.4
23,Adventure,2007,372.234864
24,Adventure,2005,550.0
25,Drama,1997,1845.034188
27,Thriller,2012,303.025485
28,Action,2015,1513.52881
29,Action,2012,1108.561013
30,Action,2004,783.766341
31,Action,2013,1215.439994
33,Adventure,2006,459.359555
34,Animation,2013,743.559607
37,Fantasy,2013,491.868548
38,Action,2014,705.717432
39,Adventure,2010,400.062763
40,Animation,2011,559.852396
41,Adventure,2011,219.851172
42,Animation,2010,1066.969703
43,Action,2009,371.353001
44,Action,2015,1506.24936
45,Action,2013,531.865
46,Action,2014,747.862775
47,Action,2013,467.365246
48,Action,2013,197.687603
49,Drama,2013,351.040419
50,Adventure,2010,335.154643
51,Action,2013,407.602906
52,Action,2011,1123.746996
53,Adventure,2008,786.636033
54,Adventure,2015,331.926147
55,Animation,2012,538.983207
57,Animation,2008,521.31186
58,Action,2007,258.022233
59,Action,2009,769.653595
60,Animation,2009,325.233863
63,Adventure,2005,748.806957
65,Drama,2008,1004.558444
66,Animation,2009,735.099082
67,Animation,2009,381.50987
68,Action,2008,585.174222
69,Adventure,2011,185.77016
70,Action,1999,222.104681
71,Adventure,2008,401.128639
73,Fantasy,2007,173.0
74,Action,2014,370.541256
75,Adventure,1995,264.21822
76,Adventure,2009,302.469017
77,Drama,2015,857.611174
79,Adventure,2010,623.933331
80,Adventure,2012,396.6
81,Fantasy,2014,758.539785
83,Action,2015,0.0
84,Drama,2013,150.962475
85,Action,2014,714.766572
86,Comedy,2010,752.600867
87,Adventure,2015,209.154322
88,Adventure,2014,652.105443
90,Adventure,2004,305.87573
92,Fantasy,2010,494.878759
93,Action,2003,435.0
94,Action,2014,773.328629
95,Adventure,2014,675.120017
96,Action,2010,825.532764
98,Adventure,2012,1021.103568
99,Action,2001,207.283925
100,Fantasy,2008,333.932083
101,Action,2011,353.624124
102,Action,2015,653.428261
103,Fantasy,2010,215.283742
104,Adventure,2006,181.674817
106,Fantasy,2007,798.958165
109,Adventure,2010,415.686217
111,Adventure,2007,709.70978
113,Adventure,2007,938.212738
114,Adventure,2005,895.921036
115,Fantasy,2008,624.029371
116,Drama,2007,585.34901
117,Adventure,2005,474.968763
118,Animation,2007,623.722818
119,Action,2005,374.218673
121,Adventure,2009,413.10617
122,Adventure,2009,373.062864
123,Adventure,2003,424.988211
124,Animation,2013,1274.219009
125,Adventure,2003,738.599701
126,Action,2013,644.571402
127,Action,2015,378.85834
128,Thriller,2009,356.613439
129,Adventure,2011,449.326618
130,Animation,2008,309.979994
131,Fantasy,2009,292.817841
132,Adventure,2012,301.0
133,Comedy,2012,245.527149
134,Action,2015,682.330139
135,Drama,2010,0.0
137,Animation,2011,665.692281
138,Action,2010,318.502923
139,Adventure,2006,397.850012
140,Action,2013,205.366737
141,Adventure,2011,38.992758
142,Adventure,2006,64.459316
143,Adventure,2015,128.38832
144,Animation,2014,272.91243
145,Adventure,2004,497.409852
146,Animation,2012,746.921274
147,Adventure,2002,431.971116
149,Action,1998,553.799566
150,Action,2002,441.818803
151,Adventure,2007,195.735876
153,Action,2011,694.71338
154,Fantasy,2012,306.94167
155,Comedy,2005,202.026112
156,Drama,2003,456.758981
157,Adventure,2014,268.031828
159,Fantasy,2002,821.708551
160,Fantasy,2014,609.123048
162,Action,2005,76.932943
163,Action,2009,185.258983
164,Action,1998,285.444603
165,Drama,2003,245.36048
166,Adventure,2013,371.876278
167,Action,2005,119.269486
168,Adventure,2001,85.13183
169,Action,2011,370.569774
170,Adventure,1999,361.8324
171,Adventure,2003,212.011111
172,Adventure,2012,829.0
173,Animation,2011,150.406466
177,Animation,2013,282.570682
178,Animation,2011,245.724603
180,Action,2007,442.824138
181,Adventure,2008,631.74456
183,Adventure,2013,847.423452
184,Fantasy,2015,368.871007
